88,2188,189,2225	David
194,2187,309,2225	Bomar
766,2150,809,2187	22
890,2156,945,2187	46
506,2193,550,2224	11
624,2193,673,2231	24
760,2193,809,2231	21
890,2200,939,2231	45
1050,2199,1131,2237	4-20
1223,2206,1316,2237	0.0-0
1403,2206,1464,2243	0-0
1600,2033,1650,2069	v
1601,2075,1650,2112	/
1601,2118,1650,2160	n
1601,2166,1650,2203	-
1600,2209,1650,2243	/
18,2274,78,2311	18
83,2274,217,2311	Michael
221,2274,364,2311	Waddell
506,2280,550,2311	11
1050,2286,1106,2323	1-7
1217,2292,1316,2329	0.0-0
18,2317,78,2361	28
83,2317,240,2361	Billy-Dee
245,2317,438,2361	Greenwood
624,2280,673,2317	34
890,2286,939,2317	42
624,2329,673,2360	12
1217,2336,1316,2373	0.0-0
1403,2342,1464,2373	0-0
18,2360,67,2397	95
80,2367,167,2404	Joey
172,2367,284,2404	Evans
760,2329,809,2367	28
890,2336,939,2367	40
1044,2336,1106,2367	2-7
1050,2379,1149,2416	11-66
1217,2379,1335,2416	8.0-53
1403,2385,1464,2416	0-0
18,2404,67,2441	68
500,2373,543,2404	11
624,2373,673,2404	26
86,2410,174,2447	Ross
178,2410,346,2447	McAllister
760,2373,809,2410	12
890,2379,939,2410	38
500,2416,543,2447	11
624,2416,673,2447	21
1044,2422,1131,2459	9-39
1217,2428,1335,2459	5.0-28
1403,2428,1464,2465	0-0
18,2453,67,2484	91
74,2453,147,2490	Will
152,2453,321,2490	Chapman
760,2416,809,2453	14
890,2422,939,2453	35
500,2459,550,2490	11
624,2459,673,2496	21
760,2459,809,2496	10
883,2465,939,2496	31
1044,2465,1131,2502	8-25
1217,2472,1335,2502	2.5-16
1403,2472,1464,2509	0-0
18,2540,61,2570	21
80,2540,177,2584	Kevin
182,2538,303,2583	Knight
500,2546,543,2577	11
883,2552,933,2589	25
1044,2552,1124,2589	3-18
1217,2558,1328,2595	1.0-11
1396,2558,1458,2595	0-0
18,2583,67,2614	30
80,2583,181,2620	David
186,2583,339,2620	Thornton
618,2546,673,2583	15
760,2552,809,2583	10
883,2595,933,2632	16
1044,2601,1106,2632	0-0
1217,2601,1279,2638	0-0
1396,2601,1464,2638	0-0
18,2626,67,2663	55
80,2626,195,2663	Robert
200,2626,302,2663	Harris
494,2589,543,2626	11
500,2632,543,2663	11
618,2638,667,2669	13
883,2638,933,2676	16
1044,2645,1106,2676	1-1
1217,2645,1279,2682	0-0
1396,2651,1458,2682	0-0
18,2669,61,2700	47
80,2668,150,2712	Eric
155,2669,253,2714	Davis
