2658,1779,2665,1834	.
2672,1779,2763,1834	2-13
2677,1840,2763,1884	.....O
2701,1902,2763,1945	...O
2701,1957,2763,2001	...O
2904,1606,2935,1643	0
2424,1957,2455,2001	0
2381,2074,2455,2117	1-3
2424,2191,2455,2234	0
473,2302,566,2370	T—
574,2302,759,2370	tackles;
767,2302,860,2370	A-
868,2302,1036,2370	assists;
1045,2302,1238,2370	FC/FR-
1246,2302,1448,2370	fumbles
1456,2302,1616,2370	caused
1624,2302,1692,2370	or
1700,2302,1969,2370	recovered;
1977,2302,2103,2370	DP—
2112,2302,2339,2370	deflected
2347,2302,2456,2370	pass
2465,2302,2624,2370	behind
2633,2302,2700,2370	or
2708,2302,2767,2370	at
2776,2302,2860,2370	the
2868,2302,2960,2370	line
2969,2302,3027,2370	of
467,2363,746,2425	scrimmage;
754,2363,908,2425	PBU—
916,2363,1063,2425	passes
1071,2363,1234,2425	broken
1242,2363,1303,2425	up
1311,2363,1551,2425	downfield;
1559,2363,1730,2425	PRES—
1737,2363,1977,2425	pressuring
1985,2363,2132,2425	passer
2140,2363,2241,2425	into
2249,2363,2272,2425	a
2280,2363,2458,2425	hurried
2465,2363,2620,2425	throw;
2628,2363,2775,2425	TFL—
2783,2363,2946,2425	tackles
2953,2363,3027,2425	for
473,2425,640,2475	losses;
646,2425,794,2475	INT-
800,2425,1126,2475	interceptions.
609,2591,855,2641	SCORING
1409,2592,1489,2641	TD
2640,2592,2720,2641	FG
2787,2592,2892,2641	PTS
615,2708,651,2758	L.
657,2708,832,2757	Johnson,
838,2709,892,2758	tb
615,2770,803,2813	Caparelli,
809,2770,898,2813	ks....
608,2828,759,2874	Barnes,
764,2827,868,2872	wr...
615,2887,755,2931	Linton,
760,2887,830,2931	fb..
615,2942,717,2986	Wall,
722,2942,794,2985	wr
614,3001,646,3051	F.
650,3002,773,3054	Jones,
777,3006,831,3057	te
615,3060,739,3103	Geter,
744,3060,798,3103	tb
803,3060,830,3103	..
615,3121,826,3171	McGregor,
832,3121,873,3170	fb
613,3180,802,3228	Montoro,
806,3184,881,3229	te..
609,3232,778,3282	Stevens,
784,3231,838,3280	wr
844,3231,880,3281	...
615,3292,664,3342	M.
669,3292,845,3343	Thomas,
850,3295,904,3345	qb
608,3355,778,3407	Parquet,
783,3353,839,3403	qb
844,3352,892,3402	....
615,3417,785,3454	Ashford,
790,3417,867,3454	wr.
615,3472,771,3515	Ekuban,
776,3472,820,3515	te
825,3472,867,3515	....
615,3527,798,3572	Cordora,
803,3526,849,3570	fb
615,3589,755,3632	Welch,
760,3589,830,3632	ks.
615,3644,720,3688	Team
609,3700,734,3755	UNC
741,3700,953,3755	TOTALS.
615,3761,723,3805	OPP
728,3761,947,3805	TOTALS.
1409,2709,1495,2758	...12
1409,2770,1495,2813	.....0
1464,2819,1495,2869	5
1637,2832,1673,2862	0
1464,2986,1495,3041	2
1643,3004,1673,3041	0
1661,2592,2080,2641	CONV-ATTEMPT
1987,2653,2024,2696	k
1957,2709,2018,2758	...0
1815,2770,1846,2813	0
1809,2832,1846,2869	0
1957,2764,2024,2813	26
1987,2826,2024,2862	0
1987,2887,2018,2924	0
1987,3004,2018,3041	0
2184,2585,2510,2641	CONV-MADE
2332,2659,2375,2702	r
2166,2770,2197,2807	0
2338,2770,2369,2807	0
2332,2826,2369,2862	0
2338,2887,2369,2924	0
2166,2943,2197,2979	0
2338,2943,2369,2986	0
2166,3004,2197,3041	0
